id,parent_id,name,level
2001,0,危害国家安全罪,1
2002,1,背叛国家罪,2
2003,1,分裂国家罪,2
2004,1,煽动分裂国家罪,2
2005,1,武装叛乱、暴乱罪,2
2006,1,颠覆国家政权罪,2
2007,1,煽动颠覆国家政权罪,2
2008,1,资助危害国家安全犯罪活动罪,2
2009,1,投敌叛变罪,2
2010,1,叛逃罪,2
2011,1,间谍罪,2
2012,1,为境外窃取、刺探、收买、非法提供国家秘密、情报罪,2
2013,1,资敌罪,2
2014,0,危害公共安全罪,1
2015,14,放火罪,2
2016,14,决水罪,2
2017,14,爆炸罪,2
2018,14,投放危险物质罪,2
2019,14,以危险方法危害公共安全罪,2
2020,14,失火罪,2
2021,14,过失决水罪,2
2022,14,过失爆炸罪,2
2023,14,过失投放危险物质罪,2
2024,14,过失以危险方法危害公共安全罪,2
2025,14,破坏交通工具罪,2
2026,14,破坏交通设施罪,2
2027,14,破坏电力设备罪,2
2028,14,破坏易燃易爆设备罪,2
2029,14,过失损坏交通工具罪,2
2030,14,过失损坏交通设施罪,2
2031,14,过失损坏电力设备罪,2
2032,14,过失损坏易燃易爆设备罪,2
2033,14,组织、领导、参加恐怖组织罪,2
2034,14,帮助恐怖活动罪,2
2035,14,准备实施恐怖活动罪,2
2036,14,宣扬恐怖主义、极端主义、煽动实施恐怖活动罪,2
2037,14,利用极端主义破坏法律实施罪,2
2038,14,强制穿戴宣扬恐怖主义、极端主义服饰、标志罪,2
2039,14,非法持有宣扬恐怖主义、极端主义物品罪,2
2040,14,劫持航空器罪,2
2041,14,劫持船只、汽车罪,2
2042,14,暴力危及飞行安全罪,2
2043,14,破坏广播电视设施、公用电信设施罪,2
2044,14,过失损坏广播电视设施、公用电信设施罪,2
2045,14,非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物罪,2
2046,14,非法制造、买卖、运输、储存危险物质罪,2
2047,14,违规制造、销售枪支罪,2
2048,14,盗窃、抢夺枪支、弹药、爆炸物、危险物质罪,2
2049,14,抢劫枪支、弹药、爆炸物、危险物质罪,2
2050,14,非法持有、私藏枪支、弹药罪,2
2051,14,非法出租、出借枪支罪,2
2052,14,丢失枪支不报罪,2
2053,14,非法携带枪支、弹药、管制刀具、危险物品危及公共安全罪,2
2054,14,重大飞行事故罪,2
2055,14,铁路运营安全事故罪,2
2056,14,交通肇事罪,2
2057,14,危险驾驶罪,2
2058,14,妨害安全驾驶罪,2
2059,14,重大责任事故罪,2
2060,14,强令、组织他人违章冒险作业罪,2
2061,14,危险作业罪,2
2062,14,重大劳动安全事故罪,2
2063,14,大型群众性活动重大安全事故罪,2
2064,14,危险物品肇事罪,2
2065,14,工程重大安全事故罪,2
2066,14,教育设施重大安全事故罪,2
2067,14,消防责任事故罪,2
2068,14,不报、谎报安全事故罪,2
2069,0,破坏社会主义市场经济秩序罪,1
2070,69,生产、销售伪劣产品罪,2
2071,69,生产、销售假药罪,2
2072,69,生产、销售劣药罪,2
2073,69,生产、销售不符合安全标准的食品罪,2
2074,69,生产、销售有毒、有害食品罪,2
2075,69,生产、销售不符合标准的医用器材罪,2
2076,69,生产、销售不符合安全标准的产品罪,2
2077,69,生产、销售伪劣农药、兽药、化肥、种子罪,2
2078,69,生产、销售不符合卫生标准的化妆品罪,2
2079,69,走私武器、弹药罪,2
2080,69,走私核材料罪,2
2081,69,走私假币罪,2
2082,69,走私文物罪,2
2083,69,走私贵重金属罪,2
2084,69,走私珍贵动物、珍贵动物制品罪,2
2085,69,走私国家禁止进出口的货物、物品罪,2
2086,69,走私淫秽物品罪,2
2087,69,走私普通货物、物品罪,2
2088,69,虚报注册资本罪,2
2089,69,虚假出资、抽逃出资罪,2
2090,69,欺诈发行证券罪,2
2091,69,违规披露、不披露重要信息罪,2
2092,69,妨害清算罪,2
2093,69,虚假破产罪,2
2094,69,隐匿、故意销毁会计凭证、会计账簿、财务会计报告罪,2
2095,69,非国家工作人员受贿罪,2
2096,69,对非国家工作人员行贿罪,2
2097,69,对外国公职人员、国际公共组织官员行贿罪,2
2098,69,非法经营同类营业罪,2
2099,69,为亲友非法牟利罪,2
2100,69,签订、履行合同失职被骗罪,2
2101,69,国有公司、企业、事业单位人员失职罪,2
2102,69,国有公司、企业、事业单位人员滥用职权罪,2
2103,69,徇私舞弊低价折股、出售国有资产罪,2
2104,69,背信损害上市公司利益罪,2
2105,69,伪造货币罪,2
2106,69,出售、购买、运输假币罪,2
2107,69,金融工作人员购买假币、以假币换取货币罪,2
2108,69,持有、使用假币罪,2
2109,69,变造货币罪,2
2110,69,擅自设立金融机构罪,2
2111,69,伪造、变造、转让金融机构经营许可证、批准文件罪,2
2112,69,高利转贷罪,2
2113,69,骗取贷款、票据承兑、金融票证罪,2
2114,69,非法吸收公众存款罪,2
2115,69,伪造、变造金融票证罪,2
2116,69,妨害信用卡管理罪,2
2117,69,窃取、收买、非法提供信用卡信息罪,2
2118,69,伪造、变造国家有价证券罪,2
2119,69,伪造、变造股票、公司、企业债券罪,2
2120,69,擅自发行股票、公司、企业债券罪,2
2121,69,内幕交易、泄露内幕信息罪,2
2122,69,利用未公开信息交易罪,2
2123,69,编造并传播证券、期货交易虚假信息罪,2
2124,69,诱骗投资者买卖证券、期货合约罪,2
2125,69,操纵证券、期货市场罪,2
2126,69,背信运用受托财产罪,2
2127,69,违法运用资金罪,2
2128,69,违法发放贷款罪,2
2129,69,吸收客户资金不入账罪,2
2130,69,违规出具金融票证罪,2
2131,69,对违法票据承兑、付款、保证罪,2
2132,69,逃汇罪,2
2133,69,骗购外汇罪,2
2134,69,洗钱罪,2
2135,69,集资诈骗罪,2
2136,69,贷款诈骗罪,2
2137,69,票据诈骗罪,2
2138,69,金融凭证诈骗罪,2
2139,69,信用证诈骗罪,2
2140,69,信用卡诈骗罪,2
2141,69,有价证券诈骗罪,2
2142,69,保险诈骗罪,2
2143,69,逃税罪,2
2144,69,抗税罪,2
2145,69,逃避追缴欠税罪,2
2146,69,骗取出口退税罪,2
2147,69,虚开增值税专用发票、用于骗取出口退税、抵扣税款发票罪,2
2148,69,虚开发票罪,2
2149,69,伪造、出售伪造的增值税专用发票罪,2
2150,69,非法出售增值税专用发票罪,2
2151,69,非法购买增值税专用发票、购买伪造的增值税专用发票罪,2
2152,69,非法制造、出售非法制造的用于骗取出口退税、抵扣税款发票罪,2
2153,69,非法制造、出售非法制造的发票罪,2
2154,69,非法出售用于骗取出口退税、抵扣税款发票罪,2
2155,69,非法出售发票罪,2
2156,69,持有伪造的发票罪,2
2157,69,侵犯商业秘密罪,2
2158,69,为境外窃取、刺探、收买、非法提供商业秘密罪,2
2159,69,损害商业信誉、商品声誉罪,2
2160,69,虚假广告罪,2
2161,69,串通投标罪,2
2162,69,合同诈骗罪,2
2163,69,组织、领导传销活动罪,2
2164,69,非法经营罪,2
2165,69,强迫交易罪,2
2166,69,伪造、倒卖伪造的有价票证罪,2
2167,69,倒卖车票、船票罪,2
2168,69,非法转让、倒卖土地使用权罪,2
2169,69,提供虚假证明文件罪,2
2170,69,出具证明文件重大失实罪,2
2171,69,逃避商检罪,2
2172,0,侵犯公民人身权利、民主权利罪,1
2173,172,故意杀人罪,2
2174,172,过失致人死亡罪,2
2175,172,故意伤害罪,2
2176,172,过失致人重伤罪,2
2177,172,强奸罪,2
2178,172,负有照护职责人员性侵罪,2
2179,172,强制猥亵、侮辱罪,2
2180,172,猥亵儿童罪,2
2181,172,非法拘禁罪,2
2182,172,绑架罪,2
2183,172,拐卖妇女、儿童罪,2
2184,172,收买被拐卖的妇女、儿童罪,2
2185,172,聚众阻碍解救被收买的妇女、儿童罪,2
2186,172,诬告陷害罪,2
2187,172,强迫劳动罪,2
2188,172,雇用童工从事危重劳动罪,2
2189,172,非法搜查罪,2
2190,172,非法侵入住宅罪,2
2191,172,侮辱罪,2
2192,172,诽谤罪,2
2193,172,刑讯逼供罪,2
2194,172,暴力取证罪,2
2195,172,虐待被监管人罪,2
2196,172,煽动民族仇恨、民族歧视罪,2
2197,172,出版歧视、侮辱少数民族作品罪,2
2198,172,非法剥夺公民宗教信仰自由罪,2
2199,172,侵犯少数民族风俗习惯罪,2
2200,172,侵犯通信自由罪,2
2201,172,私自开拆、隐匿、毁弃邮件、电报罪,2
2202,172,侵犯公民个人信息罪,2
2203,172,报复陷害罪,2
2204,172,打击报复会计、统计人员罪,2
2205,172,破坏选举罪,2
2206,172,暴力干涉婚姻自由罪,2
2207,172,重婚罪,2
2208,172,破坏军婚罪,2
2209,172,虐待罪,2
2210,172,虐待被监护、看护人罪,2
2211,172,遗弃罪,2
2212,172,拐骗儿童罪,2
2213,172,组织残疾人、儿童乞讨罪,2
2214,172,组织未成年人进行违反治安管理活动罪,2
2215,0,侵犯财产罪,1
2216,215,抢劫罪,2
2217,215,盗窃罪,2
2218,215,诈骗罪,2
2219,215,抢夺罪,2
2220,215,聚众哄抢罪,2
2221,215,侵占罪,2
2222,215,职务侵占罪,2
2223,215,挪用资金罪,2
2224,215,挪用特定款物罪,2
2225,215,敲诈勒索罪,2
2226,215,故意毁坏财物罪,2
2227,215,破坏生产经营罪,2
2228,215,拒不支付劳动报酬罪,2
2229,0,妨害社会管理秩序罪,1
2230,229,妨害公务罪,2
2231,229,袭警罪,2
2232,229,煽动暴力抗拒法律实施罪,2
2233,229,招摇撞骗罪,2
2234,229,伪造、变造、买卖国家机关公文、证件、印章罪,2
2235,229,盗窃、抢夺、毁灭国家机关公文、证件、印章罪,2
2236,229,伪造公司、企业、事业单位、人民团体印章罪,2
2237,229,伪造、变造、买卖身份证件罪,2
2238,229,使用虚假身份证件、盗用身份证件罪,2
2239,229,非法生产、买卖警用装备罪,2
2240,229,聚众扰乱社会秩序罪,2
2241,229,聚众冲击国家机关罪,2
2242,229,扰乱国家机关工作秩序罪,2
2243,229,组织、资助非法聚集罪,2
2244,229,聚众扰乱公共场所秩序、交通秩序罪,2
2245,229,投放虚假危险物质罪,2
2246,229,编造、故意传播虚假恐怖信息罪,2
2247,229,编造、故意传播虚假信息罪,2
